,UP,DOWN,FLAT
526,0.3757776,0.37048694,0.40285832
527,0.39437667,0.3885338,0.37877968
528,0.3916669,0.38419446,0.37482733
529,0.39140075,0.39300513,0.40207738
530,0.38477638,0.3877445,0.4018191
531,0.38770625,0.38400516,0.39632133
532,0.38769904,0.3879292,0.3861888
533,0.38629097,0.3845644,0.4131443
534,0.3785332,0.37874103,0.37506774
535,0.3865355,0.38484213,0.38740823
536,0.37775347,0.37748715,0.39750934
537,0.38489106,0.3902968,0.39822954
538,0.3911655,0.3831723,0.37450904
539,0.38821372,0.38916963,0.4061714
540,0.40134048,0.40193057,0.3984883
541,0.40406963,0.3853708,0.38864714
542,0.38152936,0.38438684,0.38194263
543,0.40296528,0.3980544,0.38472393
544,0.4016918,0.3829745,0.3998987
545,0.38808107,0.41440088,0.39763507
546,0.3873617,0.39554757,0.39911598
547,0.3835409,0.3827914,0.37504143
548,0.38591105,0.36674613,0.37393835
549,0.37544146,0.37583894,0.37679052
550,0.40072978,0.40696272,0.39013815
551,0.37494987,0.39034024,0.3951006
552,0.37370047,0.36797535,0.37695253
553,0.37024307,0.3772782,0.40230796
554,0.37594768,0.38425708,0.3794658
555,0.37140852,0.36483926,0.37780166
556,0.38617173,0.39517823,0.397292
557,0.38263136,0.3748599,0.39660284
558,0.38223308,0.40259865,0.38729593
559,0.38150802,0.38383657,0.40279493
560,0.4103055,0.40823343,0.39384568
561,0.3865272,0.38754004,0.39070508
562,0.38185087,0.39146104,0.39697096
563,0.38689032,0.3798427,0.38267168
564,0.39146826,0.39544913,0.39303005
565,0.3837267,0.38787103,0.38350195
566,0.40068433,0.38425553,0.37690315
567,0.40272546,0.3909078,0.37970853
568,0.38579977,0.39653197,0.38554645
569,0.37911418,0.3808132,0.39404702
570,0.39488733,0.38046196,0.38354382
571,0.37842813,0.3917004,0.37772197
572,0.3921325,0.39077204,0.38830906
573,0.39460692,0.3870572,0.3803017
574,0.4007447,0.38412586,0.3817901
